Date,Open,High,Low,Close,Volume,actual_returns,sma_fast,sma_slow,ssma,ema,dema,tema,trima,signal
2023-03-30,404.0899963378906,404.3500061035156,401.760009765625,403.7000122070313,69840000,0.005855253688247242,399.28500366210943,396.08440002441404,396.73545358454874,397.2563668044123,399.8774709416909,402.0374225859517,396.9333643972138,1.0
2023-03-31,404.6600036621094,409.7000122070313,404.5499877929688,409.3900146484375,112062600,0.014094630342711412,402.510009765625,396.4148001098633,398.1415159252494,397.7324341388481,403.6696035347028,406.5416470728582,396.47290133252557,1.0
2023-04-03,408.8500061035156,411.3699951171875,408.4400024414063,410.9500122070313,67391100,0.003810541299922532,406.3475112915039,396.7248001098633,399.5646821790224,398.2510196304011,406.8869839598735,409.9972244398293,396.07478389033565,1.0
2023-04-04,411.6199951171875,411.9200134277344,407.239990234375,408.6700134277344,66601500,-0.0055481170740258046,408.1775131225586,396.99150024414064,400.57638565125416,398.65979627367756,408.28782900132217,410.85245827056934,395.7803393705392,-1.0
2023-04-05,407.9100036621094,408.7000122070313,405.8800048828125,407.6000061035156,65200200,-0.0026182672793729767,409.1525115966797,397.32620025634765,401.35678792383237,399.0105482623745,408.8144545681871,410.6232682906507,395.635925669729,-1.0
2023-04-06,406.7699890136719,409.4800109863281,405.6799926757813,409.1900024414063,63743300,0.003900874175862601,409.1025085449219,397.47120025634763,402.2271450925555,399.409912679322,409.6753156740344,411.02530400547977,395.6492590256679,1.0
2023-04-10,406.6099853515625,409.6900024414063,405.9700012207031,409.6099853515625,63681000,0.0010263762742257487,408.7675018310547,397.582200012207,403.04746067697647,399.8100793210113,410.35804810012775,411.288426215571,395.7864503271786,1.0
2023-04-11,410.260009765625,411.1799926757813,408.9200134277344,409.7200012207031,59297900,0.0002685868828276039,409.0299987792969,397.7282000732422,403.7888540707938,400.19885659886995,410.8046800557756,411.3320467811154,396.0453700312862,1.0
2023-04-12,411.8699951171875,412.1700134277344,407.4400024414063,408.0499877929688,86420400,-0.00407598707106982,409.14249420166016,397.8238000488281,404.2623133732974,400.50686047155915,410.4459325200028,410.3886369548679,396.3755552503798,-1.0
2023-04-13,409.1799926757813,413.8399963378906,407.989990234375,413.4700012207031,85814800,0.013282719249790187,410.2124938964844,398.00399993896485,405.2853898008631,401.01540354294656,412.07170114201125,412.3055247056417,396.8062960777754,1.0
2023-04-14,412.80999755859375,415.0899963378906,410.05999755859375,412.4599914550781,78161500,-0.0024427643181926806,410.9249954223633,398.1861999511719,406.0825677624952,401.46436750289274,412.8045215476194,412.9226743800156,397.3096295580452,-1.0
2023-04-17,412.3699951171875,413.9599914550781,411.0899963378906,413.9400024414063,66436400,0.003588253447581735,411.9799957275391,398.365299987793,406.9556160602033,401.9537720905952,413.7925493585852,413.91656224106634,397.86475315800425,1.0
2023-04-18,415.5799865722656,415.7200012207031,412.7799987792969,414.2099914550781,63560000,0.0006522418999841406,413.5199966430664,398.56149993896486,407.7616577707871,402.4345629412272,414.52798132583786,414.5635936576709,398.5012657259718,1.0
2023-04-19,412.2200012207031,415.0799865722656,412.1600036621094,414.1400146484375,55227300,-0.0001689404120717164,413.6875,398.7039001464844,408.470364090559,402.8937423044823,414.9607465396586,414.82509002688073,399.21657458646797,-1.0
2023-04-20,411.2099914550781,413.7000122070313,410.2699890136719,411.8800048828125,75840400,-0.005457115192173623,413.5425033569336,398.79850006103516,408.8492130674917,403.24624952601897,414.39128348522996,413.7805025545241,399.9832415168669,-1.0
2023-04-21,412.1900024414063,412.6799926757813,410.1700134277344,412.2000122070313,73457400,0.0007769430912525355,413.10750579833984,398.89720031738284,409.2215240830098,403.59747776803516,414.0415786230177,413.1846405952557,400.79299493483563,1.0
2023-04-24,411.989990234375,413.0700073242188,410.6000061035156,412.6300048828125,64332100,0.0010431651214148907,412.71250915527344,399.06440032958983,409.60024417188913,403.9517917248638,413.89890221784356,412.95957232862764,401.6621310387129,1.0
2023-04-25,410.5799865722656,411.1600036621094,406.0199890136719,406.0799865722656,97766700,-0.015873829418699414,410.69750213623047,399.1729000854492,409.2091044385863,404.0352723513577,411.3988268333341,409.58359486974786,402.55463126853664,-1.0
2023-04-26,406.7200012207031,407.8399963378906,403.7799987792969,404.3599853515625,80447000,-0.004235621743444495,408.81749725341797,399.139700012207,408.6703134289031,404.04800942025975,408.9668245373522,406.5932711293254,403.45154496181163,-1.0
2023-04-27,407.0,412.6900024414063,406.739990234375,412.4100036621094,92968400,0.01990804877378749,408.8699951171875,399.19,409.08583456593556,404.37601057419437,410.124076092289,408.68241887983135,404.3234585420585,1.0
2023-04-28,411.489990234375,415.9400024414063,411.4299926757813,415.9299926757813,89335600,0.008535168842693563,409.6949920654297,399.2801998901367,409.84629657815617,404.8292138629785,412.22335023516337,411.81135295332086,405.17361280653216,1.0
2023-05-01,415.4700012207031,417.6199951171875,415.2699890136719,415.510009765625,62122300,-0.0010097442299230597,412.05249786376953,399.43940002441406,410.4755980434419,405.2481627066851,413.56395753657137,413.62357015690816,405.99206947985994,-1.0
2023-05-02,414.7699890136719,414.8200073242188,407.8200073242188,410.8399963378906,103998500,-0.011239232071373118,413.67250061035156,399.6095001220703,410.5160867428257,405.46749763410037,412.81858346465026,412.47055613556785,406.75358167106725,-1.0
2023-05-03,411.3599853515625,413.8699951171875,407.7699890136719,408.0199890136719,91531800,-0.006864003868551016,412.5749969482422,399.75809997558594,410.2387425506935,405.5676160942297,411.2471979368316,410.32333428893384,407.4379332742574,-1.0
2023-05-04,406.9299926757813,407.2699890136719,403.739990234375,405.1300048828125,94901900,-0.007082947425800068,409.875,399.8470001220703,409.6711050320328,405.5504514508336,409.07202855499185,407.54453290223773,408.05327267116974,-1.0
2023-05-05,408.9100036621094,413.7200012207031,408.6400146484375,412.6300048828125,87844000,0.018512575986983304,409.1549987792969,400.04050018310545,409.9998716821231,405.828134145838,410.2222392037274,409.48179581734115,408.61450713357806,1.0
2023-05-08,412.9700012207031,413.239990234375,411.2799987792969,412.739990234375,50046800,0.0002665471494098792,409.62999725341797,400.1783999633789,410.3043292990431,406.09923718020707,411.0942793726438,410.831066835881,409.15336505277656,1.0
2023-05-09,411.1300048828125,412.0899963378906,410.6900024414063,410.9299926757813,49220100,-0.004385321513347584,410.3574981689453,400.2679998779297,410.3738474520147,406.28871204921603,411.066614394126,410.82872002104676,409.61191426971817,-1.0
2023-05-10,413.8800048828125,414.5400085449219,408.8699951171875,412.8500061035156,96142900,0.0046723613801760155,412.2874984741211,400.4025,410.6489761910725,406.54606138459764,411.7346487731252,411.7674047407399,410.01388945402925,1.0
2023-05-11,411.9500122070313,412.4299926757813,409.9700012207031,412.1300048828125,70157100,-0.001743977740241598,412.1624984741211,400.6275,410.81353493460034,406.7650752815969,411.94760462944697,412.01028945421166,410.3638893410012,-1.0
2023-05-12,413.4200134277344,413.6400146484375,409.0700073242188,411.5899963378906,70439400,-0.001310286896183177,411.875,400.9107000732422,410.89980842385535,406.95431752657026,411.89678931145573,411.88557857655445,410.6375929279092,-1.0
2023-05-15,412.2200012207031,413.4299926757813,410.2300109863281,413.010009765625,54289400,0.0034500678839837207,412.39500427246094,401.2406002807617,411.1342752396089,407.19183141279825,412.36320062298313,412.48359386359056,410.843086619436,1.0
